class_weight,dropout_rate,l2_alpha,number_of_hidden_layers,sgd_learnrate,accuracy_tr,accuracy_val,log_accuracy_tr,log_accuracy_val
,0.1,0.0,60,0.002,0.9988924860954285,0.9989299535751343,-6.805637501205933,-6.840053243724547
[ 0.50283981 88.53395586],0.1,0.0,60,0.002,0.9989098310470581,0.9989222645759582,-6.821422592053776,-6.832893268862009
[ 0.50283981 88.53395586],0.1,0.0,45,0.002,0.998877227306366,0.9988877654075623,-6.791954033656468,-6.801384140981219
,0.2,0.0,55,0.002,0.9988206028938293,0.9988801002502441,-6.742751898046247,-6.794516106827831
,0.2,0.0,40,0.002,0.9988235235214233,0.9988685965538024,-6.7452313427067345,-6.784296429101263
,0.2,0.0,60,0.0008,0.9988062977790833,0.998864758014679,-6.730695691333264,-6.780909447847294
[ 0.50283981 88.53395586],0.1,0.0,50,0.002,0.9988916516304016,0.9988609075546264,-6.804884327079517,-6.777523434181551
,0.1,0.0,55,0.002,0.9988973736763,0.9988570809364319,-6.810060377887298,-6.774169707203231
,0.1,0.0,40,0.0008,0.9988128542900085,0.9988532423973083,-6.736203416051419,-6.770816794736419
[ 0.50283981 88.53395586],0.1,0.0,50,0.001,0.9988340139389038,0.9988532304763794,-6.754188145588249,-6.770806399455915
,0.1,0.0,45,0.002,0.9988762140274048,0.9988494038581848,-6.791051961482592,-6.767475086734489
,0.1,0.0,40,0.002,0.9988398551940918,0.9988455772399902,-6.759210448975329,-6.764154834820793
,0.2,0.0,60,0.002,0.9988570213317871,0.9988417387008667,-6.774117557324467,-6.760835278365803
[ 0.50283981 88.53395586],0.1,0.0,55,0.002,0.9988590478897095,0.9988379001617431,-6.775892180682836,-6.757526704917213
[ 0.50283981 88.53395586],0.2,0.0,45,0.002,0.9987841844558716,0.9988379001617431,-6.712340197628224,-6.757526704917213
[ 0.50283981 88.53395586],0.1,0.0,40,0.002,0.9988504648208618,0.9988340735435486,-6.768397610368358,-6.754239266412328
[ 0.50283981 88.53395586],0.2,0.0,55,0.002,0.9988389015197754,0.9988340616226197,-6.758388756242161,-6.754229042038481
,0.1,0.0,40,0.001,0.9988465309143066,0.998830235004425,-6.764981281148824,-6.750952408830168
,0.2,0.0,50,0.0008,0.9987506866455078,0.9988225817680358,-6.685161195003709,-6.7444311765535705
,0.2,0.0,50,0.001,0.998774528503418,0.998822557926178,-6.704429613869586,-6.744410927490165
,0.1,0.0,60,0.001,0.9988551139831543,0.998822557926178,-6.772450195537599,-6.744410927490165
[ 0.50283981 88.53395586],0.1,0.0,60,0.0008,0.998847484588623,0.9988187432289124,-6.765808411055368,-6.741176347035098
,0.1,0.0,60,0.0008,0.9988435506820679,0.9988187313079834,-6.762400900917458,-6.741166255352102
,0.1,0.0,50,0.0008,0.9988263845443726,0.9988187313079834,-6.747666161805516,-6.741166255352102
[ 0.50283981 88.53395586],0.1,0.0,60,0.001,0.998842716217041,0.9988187193870545,-6.76167958603225,-6.74115616377104
[ 0.50283981 88.53395586],0.2,0.0,40,0.002,0.998792827129364,0.9988149046897888,-6.719474123728707,-6.737932077071466
[ 0.50283981 88.53395586],0.2,0.0,45,0.0008,0.9987448453903198,0.9988110542297364,-6.6804965190219825,-6.7346882718480146
,0.1,0.0,25,0.002,0.9987611770629883,0.9988110542297364,-6.6935935945283065,-6.7346882718480146
,0.1,0.0,50,0.001,0.9987966418266296,0.9988110423088074,-6.722639152828464,-6.734678245428342
,0.2,0.0,50,0.002,0.9988139271736145,0.9988072276115417,-6.737107575245021,-6.731474943290836
[ 0.50283981 88.53395586],0.2,0.0,50,0.002,0.9987765550613403,0.9988072156906128,-6.706084679233028,-6.731464949037569
[ 0.50283981 88.53395586],0.2,0.0,60,0.002,0.9988503456115723,0.9988072156906128,-6.76829391357768,-6.731464949037569
,0.2,0.0,45,0.002,0.998747706413269,0.9987995505332947,-6.682778539599641,-6.725059236728884
,0.2,0.0,40,0.001,0.9987956881523132,0.9987995386123657,-6.721846955926114,-6.725049306390154
[ 0.50283981 88.53395586],0.1,0.0,40,0.001,0.9988532066345215,0.9987957119941712,-6.77078560921899,-6.721866753202027
[ 0.50283981 88.53395586],0.1,0.0,25,0.002,0.9987621307373047,0.9987918853759765,-6.694363713934871,-6.718694296534385
[ 0.50283981 88.53395586],0.2,0.0,50,0.0008,0.9987717866897583,0.9987842082977295,-6.702194758933674,-6.7123598075861794
[ 0.50283981 88.53395586],0.2,0.0,60,0.0008,0.9987640380859375,0.9987842082977295,-6.695905734286686,-6.7123598075861794
,0.2,0.0,60,0.001,0.9988235235214233,0.9987803816795349,-6.7452313427067345,-6.709217321263153
,0.2,0.0,45,0.0008,0.9987285733222961,0.9987765431404114,-6.667615640746869,-6.706074935540887
,0.2,0.0,40,0.0008,0.9987611770629883,0.9987765431404114,-6.6935935945283065,-6.706074935540887
[ 0.50283981 88.53395586],0.2,0.0,55,0.0008,0.9987668991088867,0.9987765431404114,-6.698223232427049,-6.706074935540887
[ 0.50283981 88.53395586],0.1,0.0,45,0.001,0.9987947344779968,0.9987765312194824,-6.721055386102957,-6.706065191943593
[ 0.50283981 88.53395586],0.2,0.0,45,0.001,0.9987602233886719,0.9987727046012879,-6.692824067749278,-6.7029423934820445
[ 0.50283981 88.53395586],0.2,0.0,25,0.002,0.9987103343009949,0.9987726926803588,-6.653372242251258,-6.702932680359075
,0.1,0.0,45,0.0008,0.9987736940383911,0.9987726926803588,-6.703748911747712,-6.702932680359075
[ 0.50283981 88.53395586],0.1,0.0,55,0.001,0.9988101124763489,0.9987688541412354,-6.733896494266034,-6.699809950769238
[ 0.50283981 88.53395586],0.2,0.0,40,0.0008,0.9987171292304993,0.9987650394439698,-6.658654923674509,-6.6967162478493005
,0.1,0.0,50,0.002,0.9989069104194641,0.9987650275230407,-6.818747114741853,-6.6967065950134845
[ 0.50283981 88.53395586],0.2,0.0,60,0.001,0.9988014101982117,0.9987650275230407,-6.72660957841262,-6.6967065950134845
[ 0.50283981 88.53395586],0.2,0.0,50,0.001,0.9987727403640747,0.9987611889839172,-6.702971533416853,-6.693603217361329
[ 0.50283981 88.53395586],0.2,0.0,25,0.001,0.9986729621887207,0.9987573623657227,-6.6248060302329606,-6.690519034074061
[ 0.50283981 88.53395586],0.1,0.0,20,0.001,0.9987171292304993,0.9987573504447937,-6.658654923674509,-6.6905094408737575
[ 0.50283981 88.53395586],0.1,0.0,40,0.0008,0.9987611770629883,0.9987496972084046,-6.6935935945283065,-6.684369523725321
[ 0.50283981 88.53395586],0.1,0.0,45,0.0008,0.9987784624099731,0.998745858669281,-6.707644894079024,-6.6813041391993755
,0.1,0.0,55,0.001,0.9988454580307007,0.9987458467483521,-6.7640515770376455,-6.681294633992934
[ 0.50283981 88.53395586],0.1,0.0,50,0.0008,0.9987516403198242,0.9987420201301574,-6.685924845289006,-6.6782481225469
[ 0.50283981 88.53395586],0.1,0.0,55,0.0008,0.998832106590271,0.9987420201301574,-6.7525536575341,-6.6782481225469
,0.2,0.0,45,0.001,0.9987564086914062,0.9987420201301574,-6.689751868712308,-6.6782481225469
[ 0.50283981 88.53395586],0.2,0.0,40,0.001,0.9987640380859375,0.9987420201301574,-6.695905734286686,-6.6782481225469
,0.2,0.0,55,0.001,0.9987937808036804,0.9987343430519104,-6.720264442367028,-6.67216396505301
,0.1,0.0,55,0.0008,0.9988004565238953,0.9987266659736633,-6.725814231151923,-6.666116600788453
[ 0.50283981 88.53395586],0.2,0.0,55,0.001,0.9988196492195129,0.9987228393554688,-6.741943613081807,-6.66311591146373
,0.1,0.0,45,0.001,0.9987890124320984,0.9987228393554688,-6.716319080441077,-6.66311591146373
[ 0.50283981 88.53395586],0.1,0.0,20,0.0008,0.9987074732780457,0.9987189888954162,-6.651156277169221,-6.66010558742144
,0.1,0.0,25,0.001,0.9987257122993469,0.9987113356590271,-6.665367922638279,-6.654148991594508
[ 0.50283981 88.53395586],0.1,0.0,25,0.001,0.9987343549728394,0.9987113356590271,-6.672173383865169,-6.654148991594508
,0.2,0.0,55,0.0008,0.998742938041687,0.99870365858078,-6.678978059965867,-6.648209274990327
,0.2,0.0,25,0.0008,0.9986163973808289,0.9986998319625855,-6.583064587891241,-6.645261763318321
,0.1,0.0,20,0.002,0.9987257122993469,0.9986921429634095,-6.665367922638279,-6.63936533116344
,0.2,0.0,25,0.002,0.9986892938613892,0.9986883282661438,-6.637189249889881,-6.636452822619734
[ 0.50283981 88.53395586],0.2,0.0,25,0.0008,0.9986116290092468,0.9986691355705262,-6.579624168207333,-6.6219266008997275
[ 0.50283981 88.53395586],0.1,0.0,25,0.0008,0.9986845254898071,0.9986576437950134,-6.633557834187905,-6.613328847197575
[ 0.50283981 88.53395586],0.2,0.0,20,0.002,0.9986384510993958,0.9986576318740845,-6.599132329782818,-6.613319966636712
,0.2,0.0,20,0.001,0.9986078143119812,0.9986499667167663,-6.57688032940121,-6.607626032588534
,0.2,0.0,25,0.001,0.9986758232116699,0.9986499547958374,-6.626964304452052,-6.607617202527507
,0.1,0.0,20,0.001,0.9987419843673706,0.9986423015594482,-6.678219694207652,-6.601964335954279
[ 0.50283981 88.53395586],0.1,0.0,20,0.002,0.9986826181411743,0.9986423015594482,-6.63210895228996,-6.601964335954279
,0.2,0.0,20,0.002,0.9986154437065125,0.9986422896385193,-6.582375556383854,-6.601955555744904
,0.1,0.0,20,0.0008,0.9986835718154907,0.9986422896385193,-6.632833130831611,-6.601955555744904
[ 0.50283981 88.53395586],0.2,0.0,20,0.001,0.9986566305160522,0.9986116051673889,-6.612574280926393,-6.5796069958136565
[ 0.50283981 88.53395586],0.2,0.0,20,0.0008,0.9986297488212585,0.9985962629318237,-6.592761213800173,-6.56861726429506
,0.1,0.0,25,0.0008,0.9987026453018188,0.998584759235382,-6.64742793518268,-6.560455610687617
,0.2,0.0,20,0.0008,0.9986058473587036,0.9985694169998169,-6.575468473860463,-6.549673225358594
