class_weight,dropout_rate,l2_alpha,number_of_hidden1_layers,number_of_hidden2_layers,sgd_learnrate,accuracy_tr,accuracy_val,log_accuracy_tr,log_accuracy_val
[ 0.50285418 88.09083192],0.1,0.0,70,60,0.003,0.999276340007782,0.9991789698600769,7.231188899894712,7.104950737951736
[ 0.50285418 88.09083192],0.1,0.0,70,60,0.001,0.9993060827255249,0.9991250038146973,7.273157805607006,7.04129103127018
[ 0.50285418 88.09083192],0.1,0.0,70,55,0.003,0.9992329478263855,0.9991134524345398,7.172955735945022,7.028175778547897
[ 0.50285418 88.09083192],0.2,0.0,75,45,0.001,0.9992175102233887,0.9991134405136108,7.15302970066876,7.028162332175442
[ 0.50285418 88.09083192],0.1,0.0,60,55,0.002,0.9992801547050476,0.9991018772125244,7.236474237163312,7.015203764626755
[ 0.50285418 88.09083192],0.1,0.0,70,60,0.002,0.999294638633728,0.999098026752472,7.256800310202048,7.010925697401296
[ 0.50285418 88.09083192],0.1,0.0,60,50,0.003,0.9992039799690247,0.9990941762924195,7.135886207894626,7.006665854099527
[ 0.50285418 88.09083192],0.1,0.0,55,60,0.001,0.9992839694023132,0.999090313911438,7.241787657717312,7.002410975589109
[ 0.50285418 88.09083192],0.1,0.0,60,45,0.001,0.9992907643318176,0.9990864634513855,7.251322691483534,6.998187173516377
[ 0.50285418 88.09083192],0.1,0.0,60,50,0.001,0.9992936253547668,0.999082601070404,7.255364802250239,6.993968142581947
[ 0.50285418 88.09083192],0.1,0.0,70,55,0.001,0.9993360638618469,0.9990748882293701,7.317324590593498,6.985595994638147
[ 0.50285418 88.09083192],0.1,0.0,75,45,0.001,0.9992801547050476,0.9990633249282836,7.236474237163312,6.973174110982198
[ 0.50285418 88.09083192],0.1,0.0,75,45,0.002,0.999273419380188,0.9990594744682312,7.227161110963371,6.969071762575372
[ 0.50285418 88.09083192],0.1,0.0,60,55,0.001,0.9992830157279968,0.9990479230880738,7.240456653444615,6.95686473659776
[ 0.50285418 88.09083192],0.2,0.0,60,50,0.001,0.999176025390625,0.9990479230880738,7.101370842394851,6.95686473659776
[ 0.50285418 88.09083192],0.1,0.0,65,45,0.001,0.9992772340774536,0.9990479111671448,7.232425146807011,6.956852215703448
[ 0.50285418 88.09083192],0.2,0.0,70,55,0.002,0.9991644620895386,0.9990440607070923,7.087434836378417,6.952816148071713
[ 0.50285418 88.09083192],0.1,0.0,70,50,0.002,0.9992782473564148,0.9990440487861634,7.233828076684321,6.952803677766673
[ 0.50285418 88.09083192],0.1,0.0,60,50,0.002,0.9992830157279968,0.9990401983261108,7.240456653444615,6.948783884543729
[ 0.50285418 88.09083192],0.1,0.0,75,55,0.001,0.9993041753768921,0.9990325093269348,7.2704129076749515,6.940804773349461
[ 0.50285418 88.09083192],0.1,0.0,55,50,0.001,0.9992281198501587,0.9990324974060059,7.166681266311004,6.940792451933037
[ 0.50285418 88.09083192],0.2,0.0,60,45,0.003,0.9990893602371216,0.9990324974060059,7.001363169337383,6.940792451933037
[ 0.50285418 88.09083192],0.1,0.0,70,45,0.002,0.9992936253547668,0.9990286588668823,7.255364802250239,6.936832829932434
[ 0.50285418 88.09083192],0.1,0.0,65,55,0.001,0.9993119239807129,0.9990286469459534,7.2816112329849805,6.936820557358614
[ 0.50285418 88.09083192],0.1,0.0,55,45,0.001,0.9992348551750183,0.9990247845649719,7.175445428353761,6.932852152371094
[ 0.50285418 88.09083192],0.1,0.0,70,55,0.002,0.9993187189102173,0.9990247845649719,7.291535576649831,6.932852152371094
[ 0.50285418 88.09083192],0.2,0.0,75,45,0.002,0.9991394877433777,0.999017083644867,7.057982698808873,6.924986532858712
[ 0.50285418 88.09083192],0.2,0.0,55,45,0.002,0.9991394281387329,0.999017083644867,7.057913434739581,6.924986532858712
[ 0.50285418 88.09083192],0.1,0.0,75,60,0.001,0.9992820620536804,0.999017083644867,7.239127418389716,6.924986532858712
[ 0.50285418 88.09083192],0.2,0.0,75,55,0.001,0.9992416501045227,0.9990170717239379,7.184365675295987,6.9249744048107145
[ 0.50285418 88.09083192],0.2,0.0,75,60,0.001,0.9992069005966187,0.9990170717239379,7.139561993136855,6.9249744048107145
[ 0.50285418 88.09083192],0.1,0.0,60,55,0.003,0.9992175102233887,0.9990132331848145,7.15302970066876,6.921076802588046
[ 0.50285418 88.09083192],0.2,0.0,70,50,0.002,0.9992030262947083,0.9990132212638855,7.134688871824022,6.921064721864585
[ 0.50285418 88.09083192],0.1,0.0,50,55,0.001,0.9992300868034363,0.9990132212638855,7.169232781206672,6.921064721864585
[ 0.50285418 88.09083192],0.2,0.0,75,50,0.001,0.9992107152938843,0.9990132212638855,7.144383457953896,6.921064721864585
[ 0.50285418 88.09083192],0.1,0.0,50,60,0.001,0.9992550611495972,0.999009370803833,7.202208422949661,6.917170265029248
[ 0.50285418 88.09083192],0.1,0.0,60,60,0.003,0.9991674423217773,0.9990055084228515,7.091008055359304,6.913278929139515
[ 0.50285418 88.09083192],0.1,0.0,60,60,0.002,0.999276340007782,0.999001657962799,7.231188899894712,6.909414617722558
[ 0.50285418 88.09083192],0.1,0.0,70,50,0.001,0.9993234872817993,0.999001657962799,7.298559310529138,6.909414617722558
[ 0.50285418 88.09083192],0.2,0.0,70,60,0.001,0.9992175102233887,0.999001657962799,7.15302970066876,6.909414617722558
[ 0.50285418 88.09083192],0.1,0.0,65,55,0.003,0.999281108379364,0.9989978075027466,7.237799947855445,6.905565181743445
[ 0.50285418 88.09083192],0.2,0.0,75,60,0.002,0.9991673231124878,0.998993968963623,7.09086488118768,6.901742356511121
[ 0.50285418 88.09083192],0.2,0.0,55,60,0.003,0.9990710020065308,0.9989939451217651,6.981403979035181,6.901718657863106
[ 0.50285418 88.09083192],0.1,0.0,75,50,0.002,0.9992281198501587,0.9989939451217651,7.166681266311004,6.901718657863106
[ 0.50285418 88.09083192],0.2,0.0,60,45,0.001,0.9991790056228638,0.9989939451217651,7.104994297334044,6.901718657863106
[ 0.50285418 88.09083192],0.1,0.0,75,60,0.003,0.999189555644989,0.9989862561225891,7.117927874283001,6.8941049920982085
[ 0.50285418 88.09083192],0.2,0.0,55,50,0.001,0.9991220235824585,0.9989862442016602,7.0378908239820115,6.894093232856958
[ 0.50285418 88.09083192],0.1,0.0,60,45,0.002,0.9993022680282593,0.9989824056625366,7.2676755235875214,6.890313929993544
[ 0.50285418 88.09083192],0.2,0.0,55,60,0.001,0.9991240501403809,0.9989785313606262,7.0402017065437255,6.88651384474194
[ 0.50285418 88.09083192],0.1,0.0,65,45,0.002,0.99925696849823,0.9989785313606262,7.204772116069892,6.88651384474194
[ 0.50285418 88.09083192],0.1,0.0,55,55,0.001,0.9992570877075195,0.9989785313606262,7.204932565328158,6.88651384474194
[ 0.50285418 88.09083192],0.2,0.0,60,0,0.002,0.9990421533584595,0.9989746809005737,6.9508228747071295,6.882751398327263
[ 0.50285418 88.09083192],0.2,0.0,75,55,0.002,0.9991529583930969,0.9989746809005737,7.073760741846826,6.882751398327263
[ 0.50285418 88.09083192],0.1,0.0,70,45,0.001,0.9993149042129517,0.9989746809005737,7.285951894371,6.882751398327263
[ 0.50285418 88.09083192],0.1,0.0,55,55,0.003,0.9991914629936218,0.9989746809005737,7.120284108345655,6.882751398327263
[ 0.50285418 88.09083192],0.1,0.0,50,60,0.002,0.999273419380188,0.9989746689796448,7.227161110963371,6.882739771839842
[ 0.50285418 88.09083192],0.2,0.0,55,55,0.001,0.9991491436958313,0.9989708304405213,7.069267298914476,6.879003054870559
[ 0.50285418 88.09083192],0.2,0.0,60,55,0.002,0.9991828799247742,0.9989708304405213,7.109724503002787,6.879003054870559
[ 0.50285418 88.09083192],0.1,0.0,50,45,0.003,0.999189555644989,0.9989708304405213,7.117927874283001,6.879003054870559
[ 0.50285418 88.09083192],0.1,0.0,65,60,0.001,0.9993003606796265,0.9989708185195922,7.264945612320408,6.878991471881272
[ 0.50285418 88.09083192],0.1,0.0,50,50,0.001,0.9992550611495972,0.9989669799804688,7.202208422949661,6.875268709040939
[ 0.50285418 88.09083192],0.1,0.0,55,45,0.002,0.9991992115974426,0.9989669799804688,7.129913812389096,6.875268709040939
[ 0.50285418 88.09083192],0.1,0.0,65,60,0.002,0.9992589950561523,0.9989669680595398,7.207503260831259,6.875257169225627
[ 0.50285418 88.09083192],0.1,0.0,50,50,0.003,0.999189555644989,0.9989669561386109,7.117927874283001,6.8752456295435875
[ 0.50285418 88.09083192],0.1,0.0,60,60,0.001,0.999268651008606,0.9989631175994873,7.220619795733731,6.871536759721159
[ 0.50285418 88.09083192],0.2,0.0,50,45,0.001,0.9990931749343872,0.9989631056785584,7.005560997881441,6.871525262891452
[ 0.50285418 88.09083192],0.1,0.0,50,60,0.003,0.9991683959960938,0.9989630937576294,7.0921541872899265,6.8715137661938135
[ 0.50285418 88.09083192],0.2,0.0,60,60,0.003,0.9991210699081421,0.9989592552185058,7.036805194889092,6.867818686079819
[ 0.50285418 88.09083192],0.1,0.0,50,45,0.001,0.9992011189460754,0.9989554047584533,7.13229849196019,6.864125797259974
[ 0.50285418 88.09083192],0.2,0.0,50,50,0.002,0.9991182088851929,0.9989554047584533,7.033555361290874,6.864125797259974
[ 0.50285418 88.09083192],0.1,0.0,55,60,0.002,0.9992116689682007,0.9989554047584533,7.145592465204079,6.864125797259974
[ 0.50285418 88.09083192],0.2,0.0,55,50,0.003,0.99907386302948,0.9989554047584533,6.984488417928321,6.864125797259974
[ 0.50285418 88.09083192],0.2,0.0,60,50,0.003,0.9990719556808472,0.9989553928375244,6.982431068610643,6.864114385317419
[ 0.50285418 88.09083192],0.1,0.0,55,60,0.003,0.9992214441299438,0.9989553928375244,7.158069802976085,6.864114385317419
[ 0.50285418 88.09083192],0.1,0.0,70,50,0.003,0.9992271661758423,0.9989515542984009,7.165446507703747,6.860446495707084
[ 0.50285418 88.09083192],0.2,0.0,55,0,0.001,0.9989650845527649,0.9989515542984009,6.87343554909455,6.860446495707084
[ 0.50285418 88.09083192],0.2,0.0,65,60,0.001,0.9991809129714966,0.9989515542984009,7.107320217847666,6.860446495707084
[ 0.50285418 88.09083192],0.2,0.0,65,50,0.001,0.9992165565490723,0.9989515542984009,7.151811673721584,6.860446495707084
[ 0.50285418 88.09083192],0.1,0.0,75,0,0.001,0.9991289377212524,0.9989477038383484,7.045797081087525,6.856780681804138
[ 0.50285418 88.09083192],0.1,0.0,50,50,0.002,0.9992386698722839,0.9989476919174194,7.180443486395911,6.856769353375951
[ 0.50285418 88.09083192],0.2,0.0,65,45,0.001,0.9991692304611206,0.9989476919174194,7.093158131440223,6.856769353375951
[ 0.50285418 88.09083192],0.2,0.0,70,60,0.002,0.9991481900215149,0.9989476799964905,7.068147085956893,6.856758025076201
[ 0.50285418 88.09083192],0.1,0.0,75,45,0.003,0.9991750717163086,0.9989438414573669,7.100214104267027,6.8531169698980055
[ 0.50285418 88.09083192],0.2,0.0,70,50,0.001,0.9991644620895386,0.9989438414573669,7.087434836378417,6.8531169698980055
[ 0.50285418 88.09083192],0.1,0.0,55,0,0.001,0.9990315437316895,0.9989438414573669,6.939807230178467,6.8531169698980055
[ 0.50285418 88.09083192],0.1,0.0,75,50,0.001,0.999291718006134,0.998943829536438,7.252668247148661,6.85310568289785
[ 0.50285418 88.09083192],0.2,0.0,65,50,0.003,0.9991018176078796,0.9989399909973145,7.015137401020533,6.849477877794655
[ 0.50285418 88.09083192],0.1,0.0,60,45,0.003,0.9992435574531555,0.9989399909973145,7.1868839736285235,6.849477877794655
[ 0.50285418 88.09083192],0.2,0.0,70,55,0.001,0.9992290735244751,0.9989399909973145,7.167917551432149,6.849477877794655
[ 0.50285418 88.09083192],0.2,0.0,60,55,0.001,0.9991914629936218,0.9989399909973145,7.120284108345655,6.849477877794655
[ 0.50285418 88.09083192],0.2,0.0,50,60,0.001,0.9991413354873657,0.998936140537262,7.060132267989379,6.845851980679373
[ 0.50285418 88.09083192],0.2,0.0,75,50,0.003,0.9990719556808472,0.998936140537262,6.982431068610643,6.845851980679373
[ 0.50285418 88.09083192],0.1,0.0,65,50,0.001,0.9992512464523315,0.998936128616333,7.197100670424361,6.845840775381445
[ 0.50285418 88.09083192],0.2,0.0,65,50,0.002,0.9991375803947449,0.998936128616333,7.055768624701606,6.845840775381445
[ 0.50285418 88.09083192],0.1,0.0,75,55,0.002,0.9992550611495972,0.998936116695404,7.202208422949661,6.84582957020918
[ 0.50285418 88.09083192],0.2,0.0,70,60,0.003,0.9990854263305664,0.9989322781562805,6.997052536315468,6.842228018321592
[ 0.50285418 88.09083192],0.2,0.0,55,45,0.001,0.9991683959960938,0.9989322781562805,7.0921541872899265,6.842228018321592
[ 0.50285418 88.09083192],0.1,0.0,75,55,0.003,0.9991925358772278,0.9989322662353516,7.121611933857951,6.842216853557629
[ 0.50285418 88.09083192],0.2,0.0,75,60,0.003,0.9991356134414673,0.9989284157752991,7.053490483507149,6.838617141659287
[ 0.50285418 88.09083192],0.1,0.0,50,55,0.003,0.9992059469223022,0.9989284157752991,7.1383602504655626,6.838617141659287
[ 0.50285418 88.09083192],0.2,0.0,55,50,0.002,0.999122142791748,0.9989245653152465,7.038026610525773,6.835030341222941
[ 0.50285418 88.09083192],0.2,0.0,65,55,0.002,0.9991433024406433,0.9989207148551941,7.062425607887455,6.831456359957954
[ 0.50285418 88.09083192],0.1,0.0,50,55,0.002,0.9992097616195679,0.9989207148551941,7.143175910637351,6.831456359957954
[ 0.50285418 88.09083192],0.2,0.0,55,60,0.002,0.9990825653076172,0.9989207148551941,6.9939291605332,6.831456359957954
[ 0.50285418 88.09083192],0.1,0.0,65,50,0.003,0.9992319941520691,0.9989207029342652,7.171713210352222,6.831445314810957
[ 0.50285418 88.09083192],0.1,0.0,55,55,0.002,0.9992348551750183,0.9989207029342652,7.175445428353761,6.831445314810957
[ 0.50285418 88.09083192],0.2,0.0,70,45,0.001,0.9992040395736694,0.9989168643951416,7.135961089020873,6.827895106559393
[ 0.50285418 88.09083192],0.1,0.0,65,55,0.002,0.9992694854736328,0.9989168524742127,7.221761441458315,6.8278841006767905
[ 0.50285418 88.09083192],0.2,0.0,65,55,0.001,0.9991982579231262,0.9989168524742127,7.128723601730106,6.8278841006767905
[ 0.50285418 88.09083192],0.2,0.0,55,0,0.003,0.9989679455757141,0.9989130139350891,6.876203876602165,6.824346490694451
[ 0.50285418 88.09083192],0.1,0.0,75,50,0.003,0.9991586804389954,0.9989130020141601,7.080538992751098,6.824335523797966
[ 0.50285418 88.09083192],0.2,0.0,50,60,0.003,0.9990739822387695,0.9989130020141601,6.984617142907581,6.824335523797966
[ 0.50285418 88.09083192],0.1,0.0,55,50,0.002,0.9991847276687622,0.9989129900932312,7.111988351780646,6.824324557021855
[ 0.50285418 88.09083192],0.2,0.0,65,45,0.003,0.9991337060928345,0.9989091515541076,7.051286322262106,6.820799494803099
[ 0.50285418 88.09083192],0.2,0.0,50,50,0.001,0.9991250038146973,0.9989053010940552,7.04129103127018,6.8172759252652195
[ 0.50285418 88.09083192],0.2,0.0,60,0,0.001,0.9989862442016602,0.9989052891731263,6.894093232856958,6.817265035637087
[ 0.50285418 88.09083192],0.1,0.0,70,45,0.003,0.9991828203201294,0.9989052891731263,7.109651560882328,6.817265035637087
[ 0.50285418 88.09083192],0.1,0.0,55,0,0.003,0.9990450143814087,0.9989052891731263,6.953814276663626,6.817265035637087
[ 0.50285418 88.09083192],0.1,0.0,65,45,0.003,0.9991963505744934,0.9989014387130737,7.126347421804613,6.813753876229064
[ 0.50285418 88.09083192],0.2,0.0,65,45,0.002,0.9991510510444641,0.9989014387130737,7.071511496504101,6.813753876229064
[ 0.50285418 88.09083192],0.2,0.0,65,0,0.002,0.9989496469497681,0.9989014387130737,6.858628933012012,6.813753876229064
[ 0.50285418 88.09083192],0.1,0.0,65,60,0.003,0.9991480708122253,0.9988975882530212,7.068007147529572,6.8102550019391
[ 0.50285418 88.09083192],0.2,0.0,75,0,0.002,0.999030590057373,0.9988975763320923,6.938822978130505,6.810244188498033
[ 0.50285418 88.09083192],0.2,0.0,65,60,0.002,0.999181866645813,0.9988975763320923,7.108485209970107,6.810244188498033
[ 0.50285418 88.09083192],0.1,0.0,65,50,0.002,0.9992426037788391,0.9988937258720398,7.185624031734153,6.806757551294527
[ 0.50285418 88.09083192],0.1,0.0,65,0,0.001,0.999069094657898,0.9988937258720398,6.979352959216067,6.806757551294527
[ 0.50285418 88.09083192],0.2,0.0,50,55,0.001,0.999098002910614,0.9988898754119873,7.010899264751661,6.803283028503576
[ 0.50285418 88.09083192],0.1,0.0,75,0,0.003,0.9991047978401184,0.9988898754119873,7.018460988233107,6.803283028503576
[ 0.50285418 88.09083192],0.1,0.0,60,0,0.002,0.9990777969360352,0.9988898754119873,6.988745115745612,6.803283028503576
[ 0.50285418 88.09083192],0.2,0.0,60,50,0.002,0.9991384744644165,0.9988898634910583,7.056805861595761,6.803272290190927
[ 0.50285418 88.09083192],0.2,0.0,55,55,0.002,0.9990922808647156,0.9988860249519348,7.004575549586996,6.799820536233095
[ 0.50285418 88.09083192],0.2,0.0,60,60,0.002,0.9991201162338257,0.9988821744918823,7.03572074310869,6.796369991459117
[ 0.50285418 88.09083192],0.2,0.0,55,45,0.003,0.9990758895874023,0.9988821506500244,6.98667899930814,6.79634866290336
[ 0.50285418 88.09083192],0.2,0.0,55,55,0.003,0.9991520047187805,0.9988783240318299,7.0726354867875205,6.792931312014259
[ 0.50285418 88.09083192],0.2,0.0,60,60,0.001,0.9991433024406433,0.9988783121109008,7.062425607887455,6.792920684287524
[ 0.50285418 88.09083192],0.2,0.0,75,0,0.003,0.9989948272705078,0.9988783121109008,6.902595882097598,6.792920684287524
[ 0.50285418 88.09083192],0.1,0.0,55,50,0.003,0.9991751909255981,0.9988783121109008,7.100358623379931,6.792920684287524
[ 0.50285418 88.09083192],0.2,0.0,70,0,0.001,0.9990594983100891,0.9988783001899719,6.969097112403018,6.7929100566738345
[ 0.50285418 88.09083192],0.2,0.0,65,0,0.001,0.9989708065986633,0.9988783001899719,6.878979889026257,6.7929100566738345
[ 0.50285418 88.09083192],0.2,0.0,55,0,0.002,0.9990035891532898,0.9988783001899719,6.911350888736057,6.7929100566738345
[ 0.50285418 88.09083192],0.1,0.0,50,45,0.002,0.9992116689682007,0.9988744616508484,7.145592465204079,6.7894938252067245
[ 0.50285418 88.09083192],0.1,0.0,55,0,0.002,0.9990565180778503,0.9988744497299195,6.965933353752949,6.789483233949847
[ 0.50285418 88.09083192],0.2,0.0,70,0,0.002,0.9990113377571106,0.9988744497299195,6.919157798432645,6.789483233949847
[ 0.50285418 88.09083192],0.2,0.0,75,55,0.003,0.99909508228302,0.998870599269867,7.007666538861974,6.786068114247075
[ 0.50285418 88.09083192],0.2,0.0,70,0,0.003,0.9990054965019226,0.998870599269867,6.913266942253213,6.786068114247075
[ 0.50285418 88.09083192],0.2,0.0,50,0,0.001,0.9989457130432129,0.9988667488098144,6.854890610901405,6.782664617902887
[ 0.50285418 88.09083192],0.2,0.0,70,55,0.003,0.9990517497062683,0.9988667368888855,6.960892067633448,6.782654098729101
[ 0.50285418 88.09083192],0.1,0.0,75,0,0.002,0.9991163015365601,0.9988667249679566,7.031394658222022,6.782643579665968
[ 0.50285418 88.09083192],0.2,0.0,60,45,0.002,0.9991461634635925,0.9988628983497619,7.065770791855747,6.77927266606558
[ 0.50285418 88.09083192],0.2,0.0,50,45,0.002,0.9990488886833191,0.9988590478897095,6.95787945002826,6.775892180682836
[ 0.50285418 88.09083192],0.1,0.0,55,45,0.003,0.9992145299911499,0.9988590240478515,7.149228281964922,6.7758712844430935
[ 0.50285418 88.09083192],0.2,0.0,75,45,0.003,0.999085545539856,0.9988590121269226,6.997182888919446,6.775860836487014
[ 0.50285418 88.09083192],0.1,0.0,65,0,0.002,0.999079704284668,0.998855185508728,6.99081550985992,6.772512671458319
[ 0.50285418 88.09083192],0.1,0.0,65,0,0.003,0.9990614056587219,0.998855185508728,6.971127183518278,6.772512671458319
[ 0.50285418 88.09083192],0.2,0.0,75,0,0.001,0.9990498423576355,0.9988551735877991,6.958882647805041,6.7725022585338355
[ 0.50285418 88.09083192],0.2,0.0,75,50,0.002,0.999103844165802,0.9988513469696045,7.017396238016058,6.76916530100604
[ 0.50285418 88.09083192],0.1,0.0,50,0,0.002,0.9990247488021851,0.9988513231277466,6.9328154813650436,6.769144544859605
[ 0.50285418 88.09083192],0.1,0.0,50,0,0.001,0.9990315437316895,0.9988513112068176,6.939807230178467,6.769134166947895
[ 0.50285418 88.09083192],0.2,0.0,65,55,0.003,0.9990970492362976,0.9988474726676941,7.009842531280364,6.76579806770799
[ 0.50285418 88.09083192],0.2,0.0,50,60,0.002,0.9990960359573364,0.9988474607467651,7.008720974177806,6.765787724467498
[ 0.50285418 88.09083192],0.2,0.0,70,50,0.003,0.9990749359130859,0.9988474488258362,6.9856475397014774,6.765777381334084
[ 0.50285418 88.09083192],0.1,0.0,70,0,0.001,0.9991143941879272,0.9988436222076416,7.029238613726936,6.762462752124054
[ 0.50285418 88.09083192],0.1,0.0,70,0,0.002,0.9990970492362976,0.9988359093666077,7.009842531280364,6.755815068965034
[ 0.50285418 88.09083192],0.1,0.0,60,0,0.001,0.9990016222000122,0.9988320589065551,6.909378796185475,6.752512829542385
[ 0.50285418 88.09083192],0.2,0.0,50,55,0.002,0.9990402460098267,0.9988281965255738,6.948833566578761,6.749211285824488
[ 0.50285418 88.09083192],0.1,0.0,75,60,0.002,0.9992116689682007,0.9988281965255738,7.145592465204079,6.749211285824488
[ 0.50285418 88.09083192],0.1,0.0,50,0,0.003,0.9990411996841431,0.9988243460655213,6.949827725974673,6.745930746215069
[ 0.50285418 88.09083192],0.2,0.0,60,55,0.003,0.9990565180778503,0.9988127946853638,6.965933353752949,6.736153208947103
[ 0.50285418 88.09083192],0.2,0.0,65,0,0.003,0.9989833831787109,0.9988089442253113,6.8912750064731165,6.732915159572222
[ 0.50285418 88.09083192],0.2,0.0,50,50,0.003,0.9990218877792358,0.9988050818443298,6.929886149354551,6.729677584923063
[ 0.50285418 88.09083192],0.2,0.0,60,0,0.003,0.9989641308784485,0.9988050699234009,6.872514473673953,6.729667608616826
[ 0.50285418 88.09083192],0.2,0.0,50,0,0.002,0.9989496469497681,0.9988050580024719,6.858628933012012,6.729657632410024
[ 0.50285418 88.09083192],0.2,0.0,70,45,0.003,0.999090313911438,0.9988012194633484,7.002410975589109,6.726450458346287
[ 0.50285418 88.09083192],0.2,0.0,70,45,0.002,0.9991625547409058,0.9988012075424194,7.085154658676796,6.726440514182709
[ 0.50285418 88.09083192],0.2,0.0,50,55,0.003,0.9990479350090027,0.9987973570823669,6.956877257648731,6.723233712624009
[ 0.50285418 88.09083192],0.2,0.0,65,60,0.003,0.9991018176078796,0.998789644241333,7.015137401020533,6.716840947160268
[ 0.50285418 88.09083192],0.1,0.0,70,0,0.003,0.99908447265625,0.9987857937812805,6.996010326737024,6.71366473362113
[ 0.50285418 88.09083192],0.1,0.0,60,0,0.003,0.9990806579589844,0.998781931400299,6.991852316588361,6.71048878968686
[ 0.50285418 88.09083192],0.2,0.0,50,45,0.003,0.9989592432975769,0.9987472414970398,6.86780723191656,6.682407356711634
[ 0.50285418 88.09083192],0.2,0.0,50,0,0.003,0.9989226460456848,0.9986894249916076,6.833247286411722,6.637289300369945
